ObjectID,GlobalId,Name,Description,ObjectType,Material,Volume (m³),Surface Area (m²),Top Elevation (m),Bottom Elevation (m)
8590,221MCLFBbDFeZzRxZ$VJ58,Basic Wall:_H-DW-4_20 cm RX:950759,N/A,Basic Wall:_H-DW-4_20 cm RX,No material assigned,9.31,97.95,30.63,26.50
20537,0hm9wkFQDCUhp0$WAbu$x2,Basic Wall:_H-DW-1_12 cm:981895,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,1.53,28.84,30.63,26.50
21967,0j9UzR6OTEle0TLH7AV20Y,Basic Wall:_H-DW-1_12 cm:987201,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,2.53,46.62,30.63,26.50
33542,36ofPzWcH00RhW$R1ZYfPl,Basic Wall:_H-DW-1_12 cm:997478,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,2.85,52.30,17.23,13.00
34203,36ofPzWcH00RhW$R1ZYfQp,Basic Wall:_H-DW-1_12 cm:997562,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,2.37,46.13,17.23,13.00
55920,31GZI9fkj79wvvKiGzZbVR,Basic Wall:_H-DW-1_12 cm:1003871,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,1.80,32.93,17.23,13.00
56926,31GZI9fkj79wvvKiGzZbTk,Basic Wall:_H-BW-1 + H-WL-1:1004010,N/A,Basic Wall:_H-BW-1 + H-WL-1,No material assigned,33.92,337.73,30.73,13.00
68392,3ACWaXQwTA1BFTPL3ce6ix,Basic Wall:_H-WL-2_7 cm:1034189,N/A,Basic Wall:_H-WL-2_7 cm,No material assigned,0.18,5.76,17.13,13.00
83548,22sXcGRWf3XeZ9Eel25VCm,Basic Wall:_H-DW-1_12 cm:1071169,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,1.97,35.12,21.73,17.50
83751,22sXcGRWf3XeZ9Eel25VCV,Basic Wall:_H-DW-1_12 cm:1071214,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,0.95,20.23,21.73,17.50
84461,22sXcGRWf3XeZ9Eel25V70,Basic Wall:_H-DW-1_12 cm:1071793,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,1.98,35.14,21.73,17.50
85246,22sXcGRWf3XeZ9Eel25V6W,Basic Wall:_H-DW-1_12 cm:1071825,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,1.98,35.14,21.73,17.50
97317,16v2Mauj98RAy9lDOYi6kk,Basic Wall:_H-DW-1_12 cm:1080025,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,0.41,8.13,21.73,17.50
111556,0eUX2YVL5EMAfwQJaD96vk,Basic Wall:_H-DW-1_12 cm:1080576,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,0.40,8.03,21.68,17.50
153289,3foHaAGGn2bQmg7xXzVtzE,Basic Wall:_H-DW-1_12 cm:1129988,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,0.41,8.16,21.68,17.50
165099,0VEhyeKJ9EzA2H2vFdn0$E,Basic Wall:_H-BW-1 + H-WL-1:1137349,N/A,Basic Wall:_H-BW-1 + H-WL-1,No material assigned,15.19,158.56,20.61,17.43
182989,3uUEdjXwb8ne5c35n3AM2g,Basic Wall:_H-DW-1_12 cm:1181237,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,2.59,48.11,12.63,9.00
185236,3uUEdjXwb8ne5c35n3APxc,Basic Wall:_H-BW-1 + 2xH-WL-1:1181262,N/A,Basic Wall:_H-BW-1 + 2xH-WL-1,No material assigned,6.22,65.16,12.63,9.00
186995,3uUEdjXwb8ne5c35n3APsv,Basic Wall:_H-BW-1 + 2xH-WL-1:1181282,N/A,Basic Wall:_H-BW-1 + 2xH-WL-1,No material assigned,8.45,91.70,12.63,9.00
252683,0Qn2eSBH91_OQdV0vWq6nE,Basic Wall:_H-DW-1_12 cm:1302854,N/A,Basic Wall:_H-DW-1_12 cm,No material assigned,1.93,36.00,26.18,22.00
